id;idClass;code;title;imageURL;description
;Идентификатор класса товара;Номер товарной группы;Название товарной группы;Картинка аватарка товарной группы;Описание товарной группы
1;1;1235;Эстакады модульные;./webfiles/1235.png;Описание товарной группы Эстакады модульные
2;1;1241;Эстакады шарнирно-поворотные;./webfiles/1241.png;Описание товарной группы Эстакады шарнирно-поворотные
3;1;1247;Товарная группа 1247;./webfiles/1247.png;Описание товарной группы Товарная группа 1247
4;1;1252;Товарная группа 1252;./webfiles/1252.png;Описание товарной группы Товарная группа 1252
5;2;1258;Профили;./webfiles/1258.png;Описание товарной группы Профили
6;2;1267;Кабельные стойки;./webfiles/1267.png;Описание товарной группы Кабельные стойки
7;2;1269;Кабельные полки ST;./webfiles/1269.png;Описание товарной группы Кабельные полки ST
8;2;1547;Консоли;./webfiles/1547.png;Описание товарной группы Консоли
9;2;1279;Кабельные полки STV;./webfiles/1279.png;Описание товарной группы Кабельные полки STV
10;2;1283;Соединители;./webfiles/1283.png;Описание товарной группы Соединители
11;2;1289;Шарниры;./webfiles/1289.png;Описание товарной группы Шарниры
12;2;1294;Опоры;./webfiles/1294.png;Описание товарной группы Опоры
13;2;1447;Аксессуары;./webfiles/1447.png;Описание товарной группы Аксессуары
14;3;1300;Кабельные крепления СЭ;./webfiles/1300.png;Описание товарной группы Кабельные крепления СЭ
15;3;1302;Кабельные крюки;./webfiles/1302.png;Описание товарной группы Кабельные крюки
16;3;1304;Кабельные стяжки;./webfiles/1304.png;Описание товарной группы Кабельные стяжки
17;3;1454;Защитные покрытия;./webfiles/1454.png;Описание товарной группы Защитные покрытия
18;4;1307;Алюминиевые профили;./webfiles/1307.png;Описание товарной группы Алюминиевые профили
19;4;1311;Алюминиевые консоли;./webfiles/1311.png;Описание товарной группы Алюминиевые консоли
20;4;1320;Алюминиевые соединители;./webfiles/1320.png;Описание товарной группы Алюминиевые соединители
21;4;1323;Алюминиевые лестничные лотки;./webfiles/1323.png;Описание товарной группы Алюминиевые лестничные лотки
22;4;1330;Алюминиевые листовые лотки;./webfiles/1330.png;Описание товарной группы Алюминиевые листовые лотки
23;4;1337;Алюминиевые метизы;./webfiles/1337.png;Описание товарной группы Алюминиевые метизы
24;5;1346;Стойки;./webfiles/1346.png;Описание товарной группы Стойки
25;5;1353;Плиты настила;./webfiles/1353.png;Описание товарной группы Плиты настила
26;5;1361;Дополнительные элементы;./webfiles/1361.png;Описание товарной группы Дополнительные элементы
27;5;1364;Аксессуары;./webfiles/1364.png;Описание товарной группы Аксессуары
28;5;1610;Соединительные элементы;./webfiles/1610.png;Описание товарной группы Соединительные элементы
29;6;1370;Терморасширяющиеся составы;./webfiles/1370.png;Описание товарной группы Терморасширяющиеся составы
30;6;1373;Мастики;./webfiles/1373.png;Описание товарной группы Мастики
31;6;1608;Пена;./webfiles/1608.png;Описание товарной группы Пена
32;6;1376;Покрытия;./webfiles/1376.png;Описание товарной группы Покрытия
33;6;1379;Герметики;./webfiles/1379.png;Описание товарной группы Герметики
34;6;1381;Спреи;./webfiles/1381.png;Описание товарной группы Спреи
35;6;1601;Перегородки;./webfiles/1601.png;Описание товарной группы Перегородки
36;6;1617;Монтажные инструменты;./webfiles/1617.png;Описание товарной группы Монтажные инструменты
37;7;1384;Листовые лотки;./webfiles/1384.png;Описание товарной группы Листовые лотки
