id;idManufacturer;title;description;isActual;isSale
;Производитель;Артикул товара;Полное наименование;актуальный;в продаже
1;1;200502;Декоративная крышка  41/41;1;1
2;1;201001;Гайка монтажная РВ -СС 41-М6, ОЦ;1;1
3;1;201002;Гайка монтажная РВ -СС 41-М8, ОЦ;1;1
4;1;201003;Гайка монтажная РВ -СС 41-М10, ОЦ;1;1
5;1;201004;Гайка монтажная РВ -СС 41-М12, ОЦ;1;1
6;1;207101;Опорная пластина АА 500;1;1
7;1;207102;Поворотная пластина РР;1;1
8;1;207103;Опорная пластина АА 350;1;1
9;1;210101;Кабельный хомут СЭ-1 65/90;1;1
10;1;210102;Кабельный хомут СЭ-1 85/105;1;1
11;1;210103;Кабельный хомут СЭ-1 65/80;1;1
12;1;210201;Кабельный хомут СЭ-2 100/130;1;1
13;1;210202;Кабельный хомут СЭ-2 130/160;1;1
14;1;210203;Кабельный хомут СЭ-2 20 40;1;1
15;1;210204;Кабельный хомут СЭ-2 40 60;1;1
16;1;210205;Кабельное крепление СН СЭ-2 100/130;1;1
17;1;210206;Кабельное крепление СН СЭ-2 130/160;1;1
18;1;210301;Кабельный хомут СЭ-3 62/75;1;1
19;1;210302;Кабельный хомут СЭ-3 72/85;1;1
20;1;210303;Кабельный хомут СЭ-3 82/100;1;1
21;1;210304;Кабельный хомут СЭ-3 100/140;1;1
22;1;210305;Кабельный хомут СЭ-3 140/160;1;1
23;1;210306;Кабельный хомут СЭ-3 140 165;1;1
24;1;210307;Кабельное крепление ВН СЭ-3 100/140;1;1
25;1;210308;Кабельное крепление ВН СЭ-3 62/75;1;1
26;1;210401;Кабельный хомут СЭ-4 20-40;1;1
27;1;210402;Кабельный хомут СЭ-4 40 60;1;1
28;1;210501;Кабельная прокладка СЭ-П1;1;1
29;1;210502;Кабельная прокладка СЭ-П2;1;1
30;1;210601;Лента уплотнительная СЭ-ЛУ;1;1
31;1;210701;Кабельный хомут СЭ-5 20/45;1;1
32;1;210702;Кабельный хомут СЭ-5 45/65;1;1
33;1;210801;Кабельный хомут СЭ-6 20/40;1;1
34;1;210802;Кабельный хомут СЭ-6 40/60;1;1
35;1;210803;Кабельное крепление СН СЭ-6 40/60;1;1
36;1;210900;Кабельный крюк СЭ-7 СПА d38;1;1
37;1;210901;Кабельный крюк СЭ-7 СПА d80 ;1;1
38;1;210902;Крепление кабельного крюка СЭ-7 СПА  К2 ;1;1
39;1;210903;Кабельный крюк СЭ-7 СПА d7 ;1;1
40;1;210904;Кабельный крюк СЭ-7 СПА d18 ;1;1
41;1;210905;Кабельный крюк СЭ-7 СПА d28 ;1;1
42;1;210906;Кабельный крюк СЭ-7 СПА d50;1;1
43;1;210907;Кабельный крюк СЭ-7 СПА d68;1;1
44;1;210908;Кабельный крюк СЭ-7 СПА d100;1;1
45;1;210909;Кабельный крюк СЭ-7 СПА d110;1;1
46;1;210910;Адаптер для крепления СЭ-7 К-1 СПА ;1;1
47;1;211101;Защитное покрытие СЭ-ПЗ  100/4;1;1
48;1;211102;Защитное покрытие СЭ-ПЗ  250/4;1;1
49;1;211103;Защитное покрытие СЭ-ПЗ  350/4;1;1
50;1;211104;Защитное покрытие СЭ-ПЗ  500/6 ;1;1
51;1;211105;Защитное покрытие СЭ-ПЗ  500/8;1;1
52;1;211106;Защитное покрытие СЭ-ПЗ  650/8 ;1;1
53;1;211107;Защитное покрытие СЭ-ПЗ  800/10;1;1
54;1;211108;Защитное покрытие СЭ-ПЗ  1000/10;1;1
55;1;211109;Защитное покрытие СЭ-ПЗ  1200/10;1;1
56;1;211110;Защитное покрытие СЭ-ПЗ  1200/12;1;1
57;1;211111;Защитное покрытие СЭ-ПП 200/4;1;1
58;1;211112;Защитное покрытие СЭ-ПП 250/4;1;1
59;1;211113;Защитное покрытие СЭ-ПП 300/4;1;1
60;1;211114;Защитное покрытие СЭ-ПП 500/6;1;1
61;1;211115;Защитное покрытие СЭ-ПП 650/8;1;1
62;1;211116;Защитное покрытие СЭ-ПП 800/10;1;1
63;1;211117;Защитное покрытие СЭ-ПП 1000/10;1;1
64;1;211118;Защитное покрытие СЭ-ПВХ 120/2;1;1
65;1;211119;Защитное покрытие СЭ-ПВХ 150/2;1;1
66;1;211120;Защитное покрытие СЭ-ПВХ 180/2;1;1
67;1;211121;Защитное покрытие СЭ-ПВХ 200/2;1;1
68;1;211122;Защитное покрытие СЭ-ПВХ 250/2;1;1
69;1;211123;Защитное покрытие СЭ-ПВХ 300/2;1;1
70;1;211124;Защитное покрытие СЭ-ПВ 120/2;1;1
71;1;211125;Защитное покрытие СЭ-ПВ 150/2;1;1
72;1;211126;Защитное покрытие СЭ-ПВ 180/2;1;1
73;1;211127;Защитное покрытие СЭ-ПВ 200/2;1;1
74;1;211128;Защитное покрытие СЭ-ПВП 40/2;1;1
75;1;211129;Защитное покрытие СЭ-ПВП 50/2;1;1
76;1;211130;Защитное покрытие СЭ-ПВП 60/2;1;1
77;1;211131;Защитное покрытие СЭ-ПВП 70/2;1;1
78;1;211132;Защитное покрытие СЭ-ПВП 80/2;1;1
79;1;211133;Защитное покрытие СЭ-ПВП 90/2;1;1
80;1;211134;Защитное покрытие СЭ-ПВП 100/2;1;1
81;1;211135;Лента защитно-сигнальная 125мм*50м*3,5мм (Красный);1;1
82;1;211136;Лента защитно-сигнальная 250мм*50м*3,5мм (Красный);1;1
83;1;211792;Резьбовая шпилька М6 х1000 ;1;1
84;1;211793;Шпилька резьбовая V-A 16 х165;1;1
85;1;211794;Резьбовая шпилька мерная М6х2000;1;1
86;1;211795;Резьбовая шпилька М20 х 1000 мм, hdg ;1;1
87;1;211796;Резьбовая шпилька М30 х 1000 мм, 4.8, hdg ;1;1
