id;code;idBuisnessUnit;title;image;description
;Номер применения;Идентификатор направления;Название применения;Ссылка на картинку аватарку применения;Описание применения
1;1;1;Опоры эстакад;;Опоры или колонны служат несущими опорными конструкциями для пролетных строений. Опоры крепятся к фундаментам и воспринимают вертикальную нагрузку от пролетов и горизонтальные нагрузки от ветра, от температурных расширений, и т.п.
2;2;1;Пролетные строения эстакад;;Пролеты кабельной эстакады - это несущий элемент для кабельных конструкций. Пролеты могут быть в виде ферм или балок.
3;3;1;Узлы и детали эстакад;;Элементы, которые соединяют опоры с пролетными строениями.
4;4;1;Сечения кабельных эстакад;;Кабельные конструкции из монтажных систем, которые устанавливаются обычно с шагом 1 метр вдоль пролета и служат опорами для кабельных лотков или кабелей.
5;5;1;Фундаментные болты;;Крепление опор к фундаментам. Фундаментные болты замоноличиваются в тело фундамента при заливке бетона, либо вклеиваются после монолитных работ на химические анкера.
6;6;2;Лотки;;Кабельные лотки для прокладки кабелей
7;7;2;Кабельные конструкции;;Опоры для кабельных лотков или одиночных кабелей
8;8;2;Кабельные стойки;;Вертикальные отрезки профиля или трубы для крепления кабельных полок
9;9;2;Кабельные полки;;Консоли, на которые укладываются локти или одиночные кабели
10;10;2;Крепление кабеля;;Хомуты для крепления одиночных кабелей или кабелей в пучках по 3 шт. к полкам.
