id;idDescriptor;idGroup;code;title;imageURL;description;idLoadDiagram
;;Идентификатор товарной группы;Номер товарной подгруппы;Название товарной подгруппы;Ссылка на картинку аватарку товарной подгруппы;Описание товарной подгруппы;Идентификатор картинки со схемой нагрузки
1;;1;1236;Колонны СМЭ.К;./webfiles/1236.png;Описание товарной группы Колонны СМЭ.К;
2;;1;1237;Фермы СМЭ.Ф;./webfiles/1237.png;Описание товарной группы Фермы СМЭ.Ф;
3;;1;1238;Элементы;./webfiles/1238.png;Описание товарной группы Элементы;
4;;1;1239;Аксессуары;./webfiles/1239.png;Описание товарной группы Аксессуары;
5;;1;1240;Резерв;./webfiles/1240.png;Описание товарной группы Резерв;
6;;2;1242;Опора эстакады прямая ОШЭП 219;./webfiles/1242.png;Описание товарной группы Опора эстакады прямая ОШЭП 219;
7;;2;1650;Опора эстакады прямая ОШЭП 325;./webfiles/1650.png;Описание товарной группы Опора эстакады прямая ОШЭП 325;
8;;2;1651;Опора эстакады прямая переходная ОШЭПП 219;./webfiles/1651.png;Описание товарной группы Опора эстакады прямая переходная ОШЭПП 219;
9;;2;1652;Опора эстакады прямая переходная ОШЭПП 325;./webfiles/1652.png;Описание товарной группы Опора эстакады прямая переходная ОШЭПП 325;
10;;2;1653;Опора эстакады угловая ОШЭУ 219;./webfiles/1653.png;Описание товарной группы Опора эстакады угловая ОШЭУ 219;
11;;2;1654;Опора эстакады угловая ОШЭУ 325;./webfiles/1654.png;Описание товарной группы Опора эстакады угловая ОШЭУ 325;
12;;2;1655;Опора эстакады угловая переходная ОШЭУП 219;./webfiles/1655.png;Описание товарной группы Опора эстакады угловая переходная ОШЭУП 219;
13;;2;1656;Опора эстакады угловая переходная ОШЭУП 325;./webfiles/1656.png;Описание товарной группы Опора эстакады угловая переходная ОШЭУП 325;
14;;2;1657;Фиксатор неподвижной опоры эстакады ЭФНО 219;./webfiles/1657.png;Описание товарной группы Фиксатор неподвижной опоры эстакады ЭФНО 219;
15;;2;1658;Фиксатор неподвижной опоры эстакады ЭФНО 325;./webfiles/1658.png;Описание товарной группы Фиксатор неподвижной опоры эстакады ЭФНО 325;
16;;2;1243;Пролетное строение эстакады ПШЭ;./webfiles/1243.png;Описание товарной группы Пролетное строение эстакады ПШЭ;
17;;2;1244;Элементы;./webfiles/1244.png;Описание товарной группы Элементы;
18;;2;1245;Аксессуары;./webfiles/1245.png;Описание товарной группы Аксессуары;
19;;2;1246;Типовые узлы;./webfiles/1246.png;Описание товарной группы Типовые узлы;
20;;3;1248;Резерв 1248;./webfiles/1248.png;Описание товарной группы Резерв 1248;
21;;3;1249;Резерв 1249;./webfiles/1249.png;Описание товарной группы Резерв 1249;
22;;3;1250;Резерв 1250;./webfiles/1250.png;Описание товарной группы Резерв 1250;
23;;3;1251;Резерв 1251;./webfiles/1251.png;Описание товарной группы Резерв 1251;
24;;4;1253;Резерв 1253;./webfiles/1253.png;Описание товарной группы Резерв 1253;
25;;4;1254;Резерв 1254;./webfiles/1254.png;Описание товарной группы Резерв 1254;
26;;4;1255;Резерв 1255;./webfiles/1255.png;Описание товарной группы Резерв 1255;
27;;4;1256;Резерв 1256;./webfiles/1256.png;Описание товарной группы Резерв 1256;
